index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
67,real-ens-0007,data\raw_samples\real-ens-0007.json,33504840096777976512510989921427323867039135570342563123194157971712476988820,ENS,1,success,simulated_trace,2,1,1,2,2,0,0,approval:1;delegatecall:1,,115.031,outputs\traces\real-ens-0007-trace.json,outputs\risk_actions\real-ens-0007-risk-actions.json
68,real-ens-0008,data\raw_samples\real-ens-0008.json,31309365093913580207991288430108338667724061355449265288906484597789511363394,ENS,1,success,simulated_trace,5,2,2,4,5,1,0,delegatecall:1;transfer:1;unknown:2,,6.818,outputs\traces\real-ens-0008-trace.json,outputs\risk_actions\real-ens-0008-risk-actions.json
69,real-ens-0009,data\raw_samples\real-ens-0009.json,33657496545373741813637578444724485346468737982573562831880427564621945332995,ENS,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,12.619,outputs\traces\real-ens-0009-trace.json,outputs\risk_actions\real-ens-0009-risk-actions.json
70,real-ens-0010,data\raw_samples\real-ens-0010.json,40272043175867710511047990376059633000673751036364092383567949469124429500507,ENS,1,success,simulated_trace,2,0,0,0,0,0,0,,,11.944,outputs\traces\real-ens-0010-trace.json,outputs\risk_actions\real-ens-0010-risk-actions.json
71,real-ens-0011,data\raw_samples\real-ens-0011.json,107992041043258996427224563090014372885335179099580585497266204203463156791290,ENS,1,success,simulated_trace,5,4,3,4,5,1,0,delegatecall:2;unknown:2,,71.181,outputs\traces\real-ens-0011-trace.json,outputs\risk_actions\real-ens-0011-risk-actions.json
72,real-ens-0012,data\raw_samples\real-ens-0012.json,13214174724111749338017943143826453367599509196993220699255450633508989705578,ENS,1,reverted_with_trace,simulated_trace,106,11,47,67,98,0,31,approval:4;delegatecall:30;transfer:3;unknown:30,,46.357,outputs\traces\real-ens-0012-trace.json,outputs\risk_actions\real-ens-0012-risk-actions.json
73,real-ens-0013,data\raw_samples\real-ens-0013.json,20404686300257550242704646761273386459664655640264490428281621095220078268383,ENS,1,success,simulated_trace,89,11,45,55,88,0,33,approval:1;delegatecall:27;transfer:1;unknown:26,,22.844,outputs\traces\real-ens-0013-trace.json,outputs\risk_actions\real-ens-0013-risk-actions.json
74,real-ens-0014,data\raw_samples\real-ens-0014.json,31038548146097859834078018568437840147798885401616129864120868194533406456350,ENS,1,reverted_with_trace,simulated_trace,7,1,0,0,0,0,0,,,11.695,outputs\traces\real-ens-0014-trace.json,outputs\risk_actions\real-ens-0014-risk-actions.json
75,real-ens-0015,data\raw_samples\real-ens-0015.json,108835189906614532703236602621229289879643217303874617456878894788222576090451,ENS,1,success,simulated_trace,13,3,1,2,5,1,2,unknown:2,,17.544,outputs\traces\real-ens-0015-trace.json,outputs\risk_actions\real-ens-0015-risk-actions.json
76,real-ens-0016,data\raw_samples\real-ens-0016.json,28252712932062322633429808688780331957150867173093906455161078029287649387260,ENS,1,success,simulated_trace,21,2,0,1,2,0,1,unknown:1,,18.366,outputs\traces\real-ens-0016-trace.json,outputs\risk_actions\real-ens-0016-risk-actions.json
